species_common_name,species_code,scientific_name
Barred Antshrike,BAAN,Thamnophilus doliatus
Barred Antthrush,barant2,Chamaeza mollissima
Barred Becard,BABE,Pachyramphus versicolor
Barred Buttonquail,barbut1,Turnix suscitator
Barred Cuckoo-Dove,bacdov1,Macropygia unchall
Barred Cuckooshrike,CORLIN,Coracina lineata
Barred Eagle-Owl,baeowl1,Ketupa sumatrana
Barred Forest-Falcon,BAFF,Micrastur ruficollis
Barred Fruiteater,barfru1,Pipreola arcuata
Barred Hawk,BAHA,Morphnarchus princeps
Barred Long-tailed Cuckoo,bltcuc1,Cercococcyx montanus
Barred Owl,BAOW,Strix varia
Barred Parakeet,BAPA,Bolborhynchus lineola
Barred Puffbird,BAPU,Nystalus radiatus
Barred Rail,barrai1,Gallirallus torquatus
Barred Warbler,CURNIS,Curruca nisoria
Barred Wren-Warbler,CALFAS,Calamonastes fasciolatus
Barren-ground Caribou,100,Rangifer tarandus groenlandicus
Barren Ground Shrew,SORUGY,Sorex ugyunak
Barrow's Goldeneye,BAGO,Bucephala islandica
Bar-shouldered Dove,basdov1,Geopelia humeralis
Bar-tailed Godwit,BTGO,Limosa lapponica
Bar-tailed Lark,batlar1,Ammomanes cinctura
Bar-tailed Treecreeper,battre1,Certhia himalayana
Bar-tailed Trogon,battro1,Apaloderma vittatum
Bar-throated Apalis,batapa2,Apalis thoracica
Bar-throated Minla,chtmin1,Actinodura strigula
Bartlett's Tinamou,bartin2,Crypturellus bartletti
Bar-winged Cinclodes,CINFUS,Cinclodes fuscus
Bar-winged Flycatcher-shrike,bwfshr1,Hemipus picatus
Bar-winged Oriole,BWOR,Icterus maculialatus
Bar-winged Prinia,bawpri1,Prinia familiaris
Bar-winged Wood Wren,bwwwre1,Henicorhina leucoptera
Bar-winged Wren-Babbler,bwwbab1,Spelaeornis troglodytoides
Basra Reed Warbler,ACRGRI,Acrocephalus griseldis
Bassian Thrush,oltthr1,Zoothera lunulata
Bates' Pygmy Antelope,NEOBAT,Neotragus batesi
Bat Falcon,BAFA,Falco rufigularis
Bat Hawk,MACALC,Macheiramphus alcinus
Baturite Porcupine,COEBAT,Coendou baturitensis
Bavarian Pine Vole,MICBAV,Microtus bavaricus
Bawean Deer,AXIKUH,Axis kuhlii
Bay Antpitta,bayant1,Grallaria capitalis
Baya Weaver,baywea1,Ploceus philippinus
Bay-backed Shrike,babshr1,Lanius vittatus
Bay-breasted Cuckoo,BBRC,Coccyzus rufigularis
Bay-breasted Warbler,BBWA,Setophaga castanea
Bay-capped Wren-Spinetail,bcwspi1,Spartonoica maluroides
Bay Coucal,baycou1,Centropus celebensis
Bay Duiker,CEPDOR,Cephalophus dorsalis
Bay-headed Tanager,BHTA,Tangara gyrola
Bay-ringed Tyrannulet,bartyr1,Phylloscartes sylviolus
bay-winged cowbird,AGEBAD,Agelaioides badius
Bay Woodpecker,baywoo1,Blythipicus pyrrhotis
Bay Wren,BAYW,Cantorchilus nigricapillus
Beach Mouse,3441,Peromyscus polionotus
Beach Stone-curlew,beathk1,Esacus magnirostris
Beach Vole,MICBRE,Microtus breweri
Bear,109,
Bearded Bellbird,beabel1,Procnias averano
Bearded Guan,beagua1,Penelope barbata
Bearded Reedling,PANBIA,Panurus biarmicus
Bearded Screech-Owl,BESO,Megascops barbarus
Bearded Scrub Robin,besrob1,Tychaedon quadrivirgata
Bearded Seal,ERIBAR,Erignathus barbatus
Bearded Tachuri,beatac1,Polystictus pectoralis
Bearded Vulture,GYPBAR,Gypaetus barbatus
Bearded Wood-Partridge,BEWP,Dendrortyx barbatus
Bearded Woodpecker,beawoo1,Chloropicus namaquus
Beatragus Species,BEANUL,
Beautiful Firetail,beafir1,Stagonopleura bella
Beautiful Hummingbird,BEAH,Calothorax pulcher
Beautiful Jay,beajay1,Cyanolyca pulchra
Beautiful Sibia,beasib1,Heterophasia pulchella
Beautiful Sunbird,beasun1,Cinnyris pulchellus
Beautiful Treerunner,BETR,Margarornis bellulus
Beaver,CASCAN,Castor canadensis
Beech Marten,MARFOI,Martes foina
Bee Hummingbird,BEEH,Mellisuga helenae
Beetles,192,
Beijing Babbler,beibab1,Rhopophilus pekinensis
Beira,DORMEG,Dorcatragus megalotis
Beisa Oryx,ORYBEI,Oryx beisa
Belcher's Gull,BEGU,Larus belcheri
Belding's Ground Squirrel,UROBEL,Urocitellus beldingi
Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis beldingi
Belding's Yellowthroat,BEYE,Geothlypis beldingi
Belford's Melidectes,belmel1,Melidectes belfordi
Bell Miner,belmin1,Manorina melanophrys
Bell's Sparrow,BESP,Artemisiospiza belli
Bell's Vireo,BEVI,Vireo bellii
Belted Flycatcher,BEFL,Xenotriccus callizonus
Belted Kingfisher,BEKI,Megaceryle alcyon
Beluga Whale,BELUGA,Delphinapterus leucas
Bendire's Thrasher,BETH,Toxostoma bendirei
Bengal Bush Lark,benbus1,Plocealauda assamica
Bengal Fox,VULBEN,Vulpes bengalensis
Berardius Species,BERNUL,
Bermuda Petrel,BEPE,Pterodroma cahow
Berthelot's Pipit,berpip1,Anthus berthelotii
Bertoni's Antbird,berant1,Drymophila rubricollis
Berylline Hummingbird,BEHU,Amazilia beryllina
Beryl-spangled Tanager,bestan1,Tangara nigroviridis
Besra,besra1,Tachyspiza virgata
Bewick's Wren,BEWR,Thryomanes bewickii
Bhutan Laughingthrush,bhulau1,Trochalopteron imbricatum
Bianchi's Warbler,biawar1,Phylloscopus valentini
Bicknell's Thrush,BITH,Catharus bicknelli
Bicolored Antbird,BIAN,Gymnopithys bicolor
Bicolored Antpitta,bicant3,Grallaria rufocinerea
Bicolored Antvireo,bicant4,Dysithamnus occidentalis
Bicolored Conebill,biccon1,Conirostrum bicolor
Bicolored Hawk,BIHA,Accipiter bicolor
Bicolored-Spined Porcupine,CBIC,Coendou bicolor
Bicolored Wren,BIWR,Campylorhynchus griseus
Bicolor-spined Porcupine,COEBIC,Coendou bicolor
Big Brown Bat,EPTFUS,Eptesicus fuscus
Big brown bat/Hoary bat,EPTFUSLACIN,Eptesicus / Lasiurus fuscus/cinereus
Big brown bat/Little brown bat,EPTFUSMYOLUC,
Big Brown Bat / Silver-haired Bat,EPTFUSLASNOC,Eptesicus / Lasionycteris fuscus / noctivagans
Big Deer Mouse,3421,Peromyscus grandis
Big-eared brown bat,HISMAC,Histiotus macrotus
Big-eared brown bat,HISMAG,Histiotus magellanicus
Big-eared Woodrat,NEOMAC,Neotoma macrotis
Big Free-tailed Bat,NYCMAC,Nyctinomops macrotis
Big hairy armadillo,CHAVIL,Chaetophractus villosus
Bighorn sheep,OVICAN,Ovis canadensis
Big Mexican Small-eared Shrew,CRYMAG,Cryptotis magna
Bike,BIKE,
Bimaculated Lark,MELBIM,Melanocorypha bimaculata
Bird,108,
Bird-voiced Treefrog,DRYAVI,Dryophytes avivoca
Biscutate Swift,bisswi1,Streptoprocne biscutata
Bishop's Oo,BIOO,Moho bishopi
Bishop's Slender Opossum,MARBIS,Marmosops bishopi
Bison,31,Bison bison
Biting chinchilla mouse,EUNMOR,Euneomys mordax
Black Agouti,DASFUL,Dasyprocta fuliginosa
Black-and-chestnus Hawk-eagle,SISI,Spizeatus isidori
Black-and-chestnut Eagle,baceag2,Spizaetus isidori
Black-and-gold Cotinga,LIPATE,Lipaugus ater
Black-and-gold Tanager,bagtan2,Bangsia melanochlamys
Black-and-orange Flycatcher,barfly1,Ficedula nigrorufa
Black-and-red Broadbill,barbro1,Cymbirhynchus macrorhynchos
Black-and-rufous Warbling Finch,barwaf1,Poospiza nigrorufa
Black-and-white Antbird,bawant1,Myrmochanes hemileucus
Black-and-white Becard,BAWB,Pachyramphus albogriseus
Black-and-white Bulbul,BRAMEL,Brachypodius melanoleucos
Black-and-white-casqued Hornbill,bawhor2,Bycanistes subcylindricus
Black-and-white Hawk-eagle,SMEL,Spizeatus melanoleucus
Black-and-white Hawk-Eagle,BAWH,Spizaetus melanoleucus
Black-and-white Owl,BLWO,Ciccaba nigrolineata
Black-and-white Seedeater,bawsee1,Sporophila luctuosa
Black-and-white Shrike-flycatcher,bawfly1,Bias musicus
Black-and-white Tanager,bawtan1,Conothraupis speculigera
Black-and-white Tody-Flycatcher,bawtyr1,Poecilotriccus capitalis
Black-and-white Warbler,BAWW,Mniotilta varia
Black-and-yellow Broadbill,baybro1,Eurylaimus ochromalus
Black-and-yellow Grosbeak,baygro1,Mycerobas icterioides
Black-and-yellow Silky-flycatcher,BAYS,Phainoptila melanoxantha
Black-and-yellow Tanager,BAYT,Chrysothlypis chrysomelas
Black Antbird,blaant2,Cercomacroides serva
Black Antshrike,BLAN,Thamnophilus nigriceps
Black-backed Antshrike,blbant1,Thamnophilus melanonotus
Black-backed Bittern,bkbbit1,Botaurus dubius
Black-backed Bush Tanager,bbbtan1,Urothraupis stolzmanni
Black-backed Dwarf Kingfisher,bkbkin1,Ceyx erithaca
Black-backed Grosbeak,blbgro2,Pheucticus aureoventris
Black-backed Jackal,CANMES,Canis mesomelas
Black-backed Oriole,BBOR,Icterus abeillei
Black-backed Puffback,blbpuf2,Dryoscopus cubla
Black-backed Tanager,blbtan1,Stilpnia peruviana
Black-backed Water Tyrant,bbwtyr1,Fluvicola albiventer
Black-backed Woodpecker,BBWO,Picoides arcticus
Black-banded Crake,blbcra1,Rufirallus fasciatus
Black-banded Owl,bkbowl1,Strix huhula
Black-banded Woodcreeper,BBNW,Dendrocolaptes picumnus
Black Baza,AVILEU,Aviceda leuphotes
Black Bear,54,Ursus americanus
Black-bellied Antwren,blbant2,Formicivora melanogaster
Black-bellied Cuckoo,blbcuc1,Piaya melanogaster
Black-bellied Cuckooshrike,bkbcus2,Edolisoma montanum
Black-bellied Gnateater,blbgna1,Conopophaga melanogaster
Black-bellied Hummingbird,BLBH,Eupherusa nigriventris
Black-bellied Plover,BBPL,Pluvialis squatarola
Black-bellied Sandgrouse,PTEORI,Pterocles orientalis
Black-bellied Starling,bbgsta1,Notopholia corusca
Black-bellied Storm-Petrel,BBSP,Fregetta tropica
Black-bellied Sunbird,CINNEC,Cinnyris nectarinioides
Black-bellied Tanager,RAMMEL,Ramphocelus melanogaster
Black-bellied Whistling-Duck,BBWD,Dendrocygna autumnalis
Black-bellied Wren,BBEW,Pheugopedius fasciatoventris
Black-billed Barbet,LYBGUI,Lybius guifsobalito
Black-billed Brushturkey,bkbbrt1,Talegalla fuscirostris
Black-billed Cuckoo,BBCU,Coccyzus erythropthalmus
Black-billed Flycatcher,BLBF,Aphanotriccus audax
Black-billed Koel,bkbkoe1,Eudynamys melanorhynchus
Black-billed Magpie,BBMA,Pica hudsonia
Black-billed Mountain Toucan,bbmtou1,Andigena nigrirostris
Black-billed Nightingale-Thrush,BBNT,Catharus gracilirostris
Black-billed Parrot,BBPA,Amazona agilis
Black-billed Peppershrike,blbpep1,Cyclarhis nigrirostris
Black-billed Scythebill,blbscy1,Campylorhamphus falcularius
Black-billed Seed Finch,bbsfin1,Sporophila atrirostris
Black-billed Shrike-Tyrant,AGRMON,Agriornis montanus
Black-billed Sicklebill,DREALB,Drepanornis albertisi
Black-billed Thrush,blbthr1,Turdus ignobilis
Black-billed Treehunter,blbtre1,Thripadectes melanorhynchus
Black-billed Wood Dove,bbwdov1,Turtur abyssinicus
Black Bittern,blabit1,Botaurus flavicollis
Black-bodied Woodpecker,DRYSCH,Dryocopus schulzii
Black-breasted Boatbill,blbboa1,Machaerirhynchus nigripectus
Black-breasted Parrotbill,blbpar2,Paradoxornis flavirostris
Black-breasted Puffbird,BBPU,Notharchus pectoralis
Black-breasted Thrush,TURDIS,Turdus dissimilis
Black-breasted Wood-Quail,BBWQ,Odontophorus leucolaemus
Black-browed Albatross,BBAL,Thalassarche melanophris
Black-browed Barbet,blbbar5,Psilopogon oorti
Black-browed Reed Warbler,bbrwar1,Acrocephalus bistrigiceps
Black-browed Tit,AEGIOU,Aegithalos iouschistos
Blackbuck,ANTCER,Antilope cervicapra
Black Bulbul,blabul1,Hypsipetes leucocephalus
Blackburnian Warbler,BLBW,Setophaga fusca
Black Bushbird,blabus1,Neoctantes niger
Black Bustard,EUPAFR,Eupodotis afra
Black Butcherbird,blabut1,Melloria quoyi
Blackcap Babbler,blabab2,Turdoides reinwardtii
Blackcap Illadopsis,blaill1,Illadopsis cleaveri
Black-capped Antwren,blcant2,Herpsilochmus atricapillus
Black-capped Becard,blcbec1,Pachyramphus marginatus
Black-Capped Capuchin,SAPE,Sapajus apella
Black-capped Chickadee,BCCH,Poecile atricapillus
Black-capped Donacobius,BCDO,Donacobius atricapilla
Black-capped Flycatcher,BCAF,Empidonax atriceps
Black-capped Foliage-gleaner,bcfgle1,Philydor atricapillus
Black-capped Gnatcatcher,BCGN,Polioptila nigriceps
Black-capped Hemispingus,blchem1,Kleinothraupis atropileus
Black-capped Kingfisher,blckin1,Halcyon pileata
Black-capped Lory,LORLOR,Lorius lory
Black-capped Marmot,MARCAM,Marmota camtschatica
Black-capped Parakeet,blcpar1,Pyrrhura rupicola
Black-capped Petrel,BCPE,Pterodroma hasitata
Black-capped Piprites,bkcpip1,Piprites pileata
Black-capped Pygmy-Tyrant,BPYT,Myiornis atricapillus
Black-capped Screech Owl,bkcsco1,Megascops atricapilla
Black-capped Siskin,BCSI,Spinus atriceps
Black-capped Sparrow,bkcspa1,Arremon abeillei
Black-Capped Squirrel Monkey,SBOL,Saimiri boliviensis
Black-capped Swallow,BCSW,Atticora pileata
Black-capped Tanager,blctan1,Stilpnia heinei
Black-capped Tinamou,blctin1,Crypturellus atrocapillus
Black-capped Tyrannulet,blctyr1,Tyranniscus nigrocapillus
Black-capped Vireo,BCVI,Vireo atricapilla
Black-capped Warbling Finch,bcwfin2,Microspingus melanoleucus
Black-capped White-eye,bkcwhe1,Zosterops atricapilla
Black Caracara,blacar1,Daptrius ater
Black-casqued Hornbill,blchor1,Ceratogymna atrata
Black Catbird,BLCA,Melanoptila glabrirostris
Black-cheeked Ant-Tanager,BCAT,Habia atrimaxillaris
Black-cheeked Gnateater,blcgna1,Conopophaga melanops
Black-cheeked Warbler,BCWA,Basileuterus melanogenys
Black-cheeked Woodpecker,BCWO,Melanerpes pucherani
Black-chested Buzzard-Eagle,GERMEL,Geranoaetus melanoleucus
Black-chested Fruiteater,blcfru1,Pipreola lubomirskii
Black-chested Jay,BCHJ,Cyanocorax affinis
Black-chested Prinia,blcpri1,Prinia flavicans
Black-chested Sparrow,BCHS,Peucaea humeralis
Black-chested Tyrant,blctyr2,Taeniotriccus andrei
Black-chinned Antbird,blcant3,Hypocnemoides melanopogon
Black-chinned Babbler,blcbab2,Cyanoderma pyrrhops
Black-chinned Honeyeater,blchon2,Melithreptus gularis
Black-chinned Hummingbird,BCHU,Archilochus alexandri
Black-chinned Siskin,SPIBAR,Spinus barbatus
Black-chinned Sparrow,BCSP,Spizella atrogularis
Black-chinned Whistler,bkcwhi1,Pachycephala mentalis
Black-chinned Yuhina,blcyuh1,Yuhina nigrimenta
Black-collared Apalis,blcapa2,Oreolais pulcher
Black-collared Barbet,blcbar1,Lybius torquatus
Black-collared Hawk,BCHA,Busarellus nigricollis
Black-collared Jay,blcjay2,Cyanolyca armillata
Black-collared Starling,bkcsta1,Gracupica nigricollis
Black-cowled Oriole,BCOR,Icterus prosthemelas
Black-cowled Saltator,blcsal1,Saltator nigriceps
Black Crake,blacra1,Zapornia flavirostra
Black-crested Antshrike,bkcant2,Sakesphorus canadensis
Black-crested Bulbul,blcbul2,Rubigula flaviventris
Black-crested Coquette,BCCO,Lophornis helenae
Black-crested Titmouse,BCTI,Baeolophus atricristatus
Black-crested Tit-Tyrant,bkctit1,Anairetes nigrocristatus
Black-crested Warbler,blcwar2,Myiothlypis nigrocristata
Black-crowned Antpitta,BCAP,Pittasoma michleri
Black-crowned Antshrike,BCAS,Thamnophilus atrinucha
Black-crowned Night Heron,BCNH,Nycticorax nycticorax
Black-crowned Palm-Tanager,BPLT,Phaenicophilus palmarum
Black-crowned Pitta,bkhpit1,Erythropitta ussheri
Black-crowned Scimitar Babbler,cobscb1,Pomatorhinus ferruginosus
Black-crowned Sparrow-Lark,bcslar1,Eremopterix nigriceps
Black-crowned Tchagra,bkctch1,Tchagra senegalus
Black-crowned Tityra,BCRT,Tityra inquisitor
Black-crowned Waxbill,blcwax2,Estrilda nonnula
Black-crowned White-eye,bcweye2,Zosterops atrifrons
Black Cuckoo,blacuc1,Cuculus clamosus
Black Cuckooshrike,blkcus1,Campephaga flava
Black Curassow,blacur1,Crax alector
Black Currawong,blacur2,Strepera fuliginosa
Black Drongo,bladro1,Dicrurus macrocercus
Black Duiker,4088,Cephalophus niger
Black Eagle,ICTMAL,Ictinaetus malaiensis
Black-eared Barbet,buebar2,Psilopogon duvaucelii
Black-eared Cuckoo,blecuc1,Chalcites osculans
Black-eared Fairy,HELAUR,Heliothryx auritus
Black-eared Hemispingus,bkehem2,Sphenopsis melanotis
Black-eared Mouse,3462,Peromyscus melanotis
Black-eared Shrike-babbler,besbab1,Pteruthius melanotis
Black-eared Wood-Quail,BEWQ,Odontophorus melanotis
Black-faced Antbird,blfant2,Myrmoborus myotherinus
Black-faced Antthrush,BFAN,Formicarius analis
Black-faced Bunting,bkfbun1,Emberiza spodocephala
Black-faced Cotinga,blfcot1,Conioptilon mcilhennyi
Black-faced Coucal,blfcou1,Centropus melanops
Black-faced Cuckooshrike,bkfcus1,Coracina novaehollandiae
Black-faced Dacnis,blfdac1,Dacnis lineata
Black-faced Grassquit,BFGR,Tiaris bicolor
Black-faced Grosbeak,BFAG,Caryothraustes poliogaster
Black-faced Ibis,THEMEL,Theristicus melanopis
Black-faced Laughingthrush,blflau1,Trochalopteron affine
Black-faced Monarch,blfmon1,Monarcha melanopsis
Black-faced Rufous Warbler,bkfruw1,Bathmocercus rufus
Black-faced Solitaire,BFSO,Myadestes melanops
Black-Faced Spider Monkey,ACHA,Ateles chamek
Black-faced Tanager,blftan1,Schistochlamys melanopis
Black-faced Warbler,ABRSCH,Abroscopus schisticeps
Black-faced Woodswallow,blfwoo1,Artamus cinereus
Black Fantail,RHIATR,Rhipidura atra
Black Flowerpiercer,blkflo1,Diglossa humeralis
Black-footed Albatross,BFAL,Phoebastria nigripes
Black-footed Ferret,BFFE,Mustela nigripes
Black Francolin,BLFR,Francolinus francolinus
Black-fronted Bushshrike,blfbus1,Chlorophoneus nigrifrons
Black-fronted Dotterel,blfdot1,Thinornis melanops
Black-fronted Duiker,4089,Cephalophus nigrifrons
Black-fronted Ground-Tyrant,MUSFRO,Muscisaxicola frontalis
Black-fronted Nunbird,blfnun1,Monasa nigrifrons
Black-fronted Tern,CHLALB,Chlidonias albostriatus
Black-fronted Wood Quail,bfwqua1,Odontophorus atrifrons
Black-girdled Barbet,blgbar1,Capito dayi
Black-goggled Tanager,blgtan1,Trichothraupis melanops
Black Grouse,LYRTET,Lyrurus tetrix
Black Guan,BLAG,Chamaepetes unicolor
Black Guillemot,BLGU,Cepphus grylle
Black Hawk-eagle,STYR,Spizeatus tyrannus
Black Hawk-Eagle,BLHE,Spizaetus tyrannus
Black-headed Antbird,blhant3,Percnostola rufifrons
Black-headed Antthrush,BHEA,Formicarius nigricapillus
Black-headed Apalis,blhapa1,Apalis melanocephala
Black-headed Berryeater,bkhber1,Carpornis melanocephala
Black-headed Brushfinch,BHBR,Arremon atricapillus
Black-headed Bulbul,BRAMLN,Brachypodius melanocephalos
Black-headed Bunting,EMBMEL,Emberiza melanocephala
Black-headed Canary,bkhcan2,Serinus alario
Black-headed Cuckooshrike,bkhcus1,Lalage melanoptera
Black-headed Duck,HETATR,Heteronetta atricapilla
Black-headed Gonolek,blhgon1,Laniarius erythrogaster
Black-headed Grosbeak,BHGR,Pheucticus melanocephalus
Black-headed Gull,BHGU,Chroicocephalus ridibundus
Black-headed Hemispingus,blhhem1,Pseudospingus verticalis
Black-headed Heron,ARDMEL,Ardea melanocephala
Black-headed Honeyeater,blhhon1,Melithreptus affinis
Black-headed Ibis,THRMEL,Threskiornis melanocephalus
Black-headed Jay,blhjay1,Garrulus lanceolatus
Black-headed Lapwing,blhlap1,Vanellus tectus
Black-headed Nightingale-Thrush,BHNT,Catharus mexicanus
Black-Headed Night Monkey,ANIG,Aotus nigriceps
Black-headed Oriole,abhori1,Oriolus larvatus
Black-headed Parrot,blhpar4,Pionites melanocephalus
Black-headed Saltator,BHSA,Saltator atriceps
Black-headed Shrike-babbler,bhsbab1,Pteruthius rufiventer
Black-headed Sibia,blhsib1,Heterophasia desgodinsi
Black-headed Siskin,BHSI,Spinus notatus
Black-headed Tailorbird,whbtai1,Orthotomus nigriceps
Black-headed Tanager,bkhtan1,Stilpnia cyanoptera
Black-headed Tody-Flycatcher,BHTF,Todirostrum nigriceps
Black-headed Trogon,BHTR,Trogon melanocephalus
Black-headed Weaver,blhwea1,Ploceus melanocephalus
Black-headed Woodpecker,blhwoo1,Picus erythropygius
Black Honeyeater,blahon1,Sugomel nigrum
Black-hooded Antshrike,BHOA,Thamnophilus bridgesi
Black-hooded Antwren,blhant4,Formicivora erythronotos
Black-hooded Laughingthrush,blhlau1,Garrulax milleti
Black-hooded Oriole,blhori1,Oriolus xanthornus
Black-hooded Sierra Finch,bhsfin1,Phrygilus atriceps
Black-hooded Thrush,blhthr1,Turdus olivater
Black Hornbill,blahor1,Anthracoceros malayanus
Blackhorned Tree Cricket,OECNIG,Oecanthus nigricornis
Black Iguana,CTESIM,Ctenosauria similis
Blackish Antbird,blaant4,Cercomacroides nigrescens
Blackish-blue Seedeater,blbsee3,Amaurospiza moesta
Blackish Deer Mouse,PERFUR,Peromyscus furvus
Blackish-grey Antshrike,blgant2,Thamnophilus nigrocinereus
Blackish-headed Spinetail,blhspi1,Synallaxis tithys
Blackish Nightjar,blanig1,Nyctipolus nigrescens
Blackish Oystercatcher,blaoys1,Haematopus ater
Blackish Pewee,blapew1,Contopus nigrescens
Blackish Rail,blarai1,Pardirallus nigricans
Blackish Small-eared Shrew,CRYNIG,Cryptotis nigrescens
Blackish Tapaculo,blatap1,Scytalopus latrans
Black Jackrabbit,LEPINS,Lepus insularis
Black Jacobin,blkjac1,Florisuga fusca
Black Kite,BLAK,Milvus migrans
Black Lark,MELYEL,Melanocorypha yeltoniensis
Black-legged Kittiwake,BLKI,Rissa tridactyla
Black-legged Seriema,bllser1,Chunga burmeisteri
Black-lored Babbler,bklbab1,Turdoides sharpei
Black-lored Cisticola,bllcis1,Cisticola nigriloris
Black Mamo,BLMA,Drepanis funerea
Black Manakin,blaman1,Xenopipo atronitens
Black-masked Finch,blmfin1,Coryphaspiza melanotis
Black Muntjac,MUNCRI,Muntiacus crinifrons
Black-naped Fruit Dove,bknfrd1,Ptilinopus melanospilus
Black-naped Monarch,blnmon1,Hypothymis azurea
Black-naped Oriole,blnori1,Oriolus chinensis
Black-naped Tern,blnter1,Sterna sumatrana
Black-necked Aracari,blnara1,Pteroglossus aracari
Black-necked Crane,blncra1,Grus nigricollis
Black-necked Garter Snake,THACYR,Thamnophis cyrtopsis
Black-necked Red Cotinga,bnrcot1,Phoenicircus nigricollis
Black-necked Stilt,BNST,Himantopus mexicanus
Black-necked Swan,CYGMEL,Cygnus melancoryphus
Black-necked Weaver,bknwea2,Ploceus nigricollis
Black-necked Woodpecker,blnwoo1,Colaptes atricollis
Black-necklaced Scimitar-Babbler,ERYERY,Erythrogenys erythrocnemis
Black-nest Swiftlet,AERMAX,Aerodramus maximus
Black Noddy,BLNO,Anous minutus
Black Nunbird,blanun1,Monasa atra
Black Oropendola,BLOR,Psarocolius guatimozinus
Black Oystercatcher,BLOY,Haematopus bachmani
Black Paradise Flycatcher,japfly1,Terpsiphone atrocaudata
Black Phoebe,BLPH,Sayornis nigricans
Black Pitohui,blapit1,Melanorectes nigrescens
Black-polled Yellowthroat,BPYE,Geothlypis speciosa
Blackpoll Warbler,BLPW,Setophaga striata
Black Rail,BLRA,Laterallus jamaicensis
Black Redstart,PHOOCH,Phoenicurus ochruros
Black/Roof Rat,RATRAT,Rattus rattus
Black Rosy-Finch,BLRF,Leucosticte atrata
Black-rumped Agouti,DASPRY,Dasyprocta prymnolopha
Black-rumped Flameback,bkrfla1,Dinopium benghalense
Black-rumped Magpie,PICBOT,Pica bottanensis
Black-rumped Waxbill,BRUW,Estrilda troglodytes
Black Sawwing,PSAPRI,Psalidoprocne pristoptera
